Env,Pedigree,Female,Male,RA,RO,Rep,Test,DY,PH,GY
19CS,ATx3409/R08224,ATx3409,R08224,11,294,1,SCHV,87,119.38,2611.982898
19CS,ATx644/R05330,ATx644,R05330,11,246,1,SCHT,83,134.62,2614.495427
19CS,A03121/RTx2944,A03121,RTx2944,15,310,2,SCHV,78,119.38,2955.982766
19CS,A05269/R08303,A05269,R08303,15,262,2,SCHT,79,147.32,2957.510814
19CS,A07124/RTx2935,A07124,RTx2935,6,257,1,SCHT,79,137.16,2986.624584
19CS,A08158/RTx2912,A08158,RTx2912,7,260,1,SCHT,85,152.4,3081.028361
19CS,AKS119/R05512,AKS119,R05512,8,269,1,SCHT,80,154.94,3145.379077
19CS,AKS119/R05393,AKS119,R05393,8,317,1,SCHV,79,139.7,3147.067747
19CS,AKS119/R05393,AKS119,R05393,14,305,2,SCHV,82,124.46,3320.527939
19CS,AKS118/RTx2935,AKS118,RTx2935,14,257,2,SCHT,81,139.7,3320.737436
19CS,A08158/RTx2917,A08158,RTx2917,7,258,1,SCHT,82,137.16,3348.885103
19CS,A06035/R12154,A06035,R12154,19,258,2,SCHT,82,137.16,3793.766094
19CS,ATx3409/R08224,ATx3409,R08224,15,288,2,SCHV,86,134.62,4034.660365
19CS,A05071/R02107,A05071,R02107,15,240,2,SCHT,79,154.94,4036.599098
19CS,A01046/RTx2914,A01046,RTx2914,12,263,2,SCHT,80,134.62,4098.756992
19CS,A03040/RTx2940,A03040,RTx2940,12,311,2,SCHV,82,121.92,4100.1237
19CS,AN263/R08224,AN263,R08224,9,314,1,SCHV,85,144.78,4155.119363
19CS,AN263/R11208,AN263,R11208,9,266,1,SCHT,80,116.84,4157.410406
19CS,A03043/RTx2940,A03043,RTx2940,3,304,1,SCHV,82,127,4220.809424
19CS,A03043/R12148,A03043,R12148,3,256,1,SCHT,82,127,4221.855474
19CS,A11085/R07178,A11085,R07178,8,239,1,SCHT,81,132.08,4356.509541
19CS,A11085/R03248,A11085,R03248,8,287,1,SCHV,79,124.46,4357.294167
